method,n,mean,sample_std,ci95_half_width,ci95_lower,ci95_upper
our_SB_1,1310,0.5505844416622897,0.14365459094318497,0.007786346064849668,0.5427980955974401,0.5583707877271393
our_SB_5,1310,0.6383965745682024,0.14668726135709315,0.007950722442856682,0.6304458521253458,0.6463472970110591
our_SB,1310,0.6527607691424494,0.14678370191593426,0.007955949700550947,0.6448048194418985,0.6607167188430003
our_1,1310,0.5493206205258843,0.1457955465240342,0.007902389840078239,0.541418230685806,0.5572230103659626
our_5,1310,0.6373213501263211,0.14744672518523103,0.007991886795146374,0.6293294633311747,0.6453132369214675
our,1310,0.6531433530208719,0.14718975391146635,0.007977958474073444,0.6451653945467984,0.6611213114949454
our_no_reg_1,1310,0.5521666460364829,0.14180510448646788,0.007686100458359114,0.5444805455781238,0.5598527464948421
our_no_reg_5,1310,0.6396263124037335,0.1463684387016057,0.007933441661834366,0.6316928707418991,0.6475597540655679
our_no_reg,1310,0.6568215190909291,0.14588125537408683,0.007907035419192337,0.6489144836717368,0.6647285545101215
kNN,1310,0.17738827452746056,0.1157937155199231,0.006276234788273906,0.17111203973918665,0.18366450931573447
kDOT,1310,0.16831904583902077,0.11350746997772695,0.006152316026862378,0.1621667298121584,0.17447136186588313
MKL,1310,0.2844844194996448,0.20382676284665752,0.011047789718254104,0.2734366297813907,0.2955322092178989
FreeVC,1310,0.30559830112340114,0.12270047433970997,0.006650593964713888,0.29894770715868724,0.31224889508811504
PhH_exp,1310,0.3380554340566501,0.11988471636343773,0.006497974644341541,0.3315574594123086,0.34455340870099166
