method,n,mean,sample_std,ci95_half_width,ci95_lower,ci95_upper
our_SB_1,1310,0.30093418992273796,0.12702845442390648,0.006878938670864627,0.2940552512518733,0.3078131285936026
our_SB_5,1310,0.27577011986735156,0.1266844779675766,0.00686031140378462,0.26890980846356694,0.2826304312711362
our_SB,1310,0.2655244312409084,0.12668974709984332,0.006860596741726232,0.2586638344991822,0.27238502798263464
our_1,1310,0.29155102206379857,0.12616114092555247,0.006831971269815407,0.2847190507939832,0.29838299333361396
our_5,1310,0.2684961918620606,0.1250459069531999,0.0067715782961759955,0.2617246135658846,0.27526777015823656
our,1310,0.2589092673221958,0.1254551696335199,0.006793740991069537,0.25211552633112627,0.2657030083132654
our_no_reg_1,1310,0.29251717787790504,0.1275620634896364,0.0069078350630471545,0.2856093428148579,0.2994250129409522
our_no_reg_5,1310,0.26814491048185085,0.125564524462159,0.0067996628545054305,0.2613452476273454,0.2749445733363563
our_no_reg,1310,0.25741247806683865,0.125704833873647,0.00680726099337084,0.2506052170734678,0.2642197390602095
kNN,1310,0.48047111000268516,0.13290766048314365,0.0071973137790109255,0.4732737962236742,0.4876684237816961
kDOT,1310,0.5067575494666363,0.13095139637109382,0.007091376720169787,0.4996661727464665,0.5138489261868061
MKL,1310,0.2725370817408961,0.205742175389689,0.01114150221644821,0.26139557952444786,0.2836785839573443
MeanVC,1310,0.06879449509144654,0.09451178445232702,0.00511807194592757,0.06367642314551897,0.07391256703737412
FreeVC,1310,0.28075784844993296,0.1215296696387688,0.006581164416483659,0.2741766840334493,0.2873390128664166
PhH_exp,1310,0.359977753047355,0.13813294898643716,0.007480277460768242,0.3524974755865868,0.36745803050812326
PhH_unexp,1310,0.4734475948371505,0.13525882835874714,0.00732463595808122,0.4661229588790693,0.4807722307952317
