method,target_mean,source_mean,target_minus_source,margin_ci95_lower,margin_ci95_upper,pct_target_gt_source
our_SB_1,0.30093418992273796,0.5505844416622897,-0.24965025173955177,-0.25999519054572573,-0.2393053129333778,9.694656488549619
our_SB_5,0.27577011986735156,0.6383965745682024,-0.3626264547008509,-0.37312010701639614,-0.3521328023853057,2.595419847328244
our_SB,0.2655244312409084,0.6527607691424494,-0.38723633790154094,-0.39770745457388057,-0.3767652212292013,1.984732824427481
our_1,0.29155102206379857,0.5493206205258843,-0.2577695984620857,-0.2681488771067201,-0.24739031981745133,8.549618320610687
our_5,0.2684961918620606,0.6373213501263211,-0.3688251582642605,-0.37923691765925455,-0.35841339886926643,2.4427480916030535
our,0.2589092673221958,0.6531433530208719,-0.394234085698676,-0.4046259762003461,-0.3838421951970059,1.5267175572519083
our_no_reg_1,0.29251717787790504,0.5521666460364829,-0.2596494681585779,-0.26993660509288686,-0.249362331224269,8.549618320610687
our_no_reg_5,0.26814491048185085,0.6396263124037335,-0.37148140192188267,-0.3819041434410399,-0.36105866040272544,2.366412213740458
our_no_reg,0.25741247806683865,0.6568215190909291,-0.39940904102409047,-0.4098062729782696,-0.38901180906991134,1.6030534351145038
kNN,0.48047111000268516,0.17738827452746056,0.3030828354752246,0.29491787739164804,0.3112477935588011,98.01526717557252
kDOT,0.5067575494666363,0.16831904583902077,0.3384385036276156,0.33018679979974364,0.3466902074554875,98.93129770992365
MKL,0.2725370817408961,0.2844844194996448,-0.0119473377587487,-0.020285783831620725,-0.003608891685876676,47.404580152671755
FreeVC,0.28075784844993296,0.30559830112340114,-0.024840452673468197,-0.03401152365785072,-0.015669381689085677,43.89312977099237
PhH_exp,0.359977753047355,0.3380554340566501,0.021922318990704896,0.012373039184777064,0.03147159879663273,54.045801526717554
