row_index,method,source_file,target_file,source_id,target_id,converted_path,target_path,available,ecapa_target_cosine,utmosv2
0,our_SB_1,1089/134686/1089-134686-0000.flac,2094/142345/2094-142345-0001.flac,1089-134686-0000,2094-142345-0001,/Users/davidmillard/Downloads/eval/our_SB_1/1089-134686-0000__to__2094-142345-0001.wav,/Users/davidmillard/Downloads/eval/freevc/target/1089-134686-0000_to_2094-142345-0001_target.flac,True,0.4610770642757416,3.3225924968719482
1,our_SB_1,1089/134686/1089-134686-0002.flac,3575/170457/3575-170457-0008.flac,1089-134686-0002,3575-170457-0008,/Users/davidmillard/Downloads/eval/our_SB_1/1089-134686-0002__to__3575-170457-0008.wav,/Users/davidmillard/Downloads/eval/freevc/target/1089-134686-0002_to_3575-170457-0008_target.flac,True,0.3207170963287353,2.9254090785980225
2,our_SB_1,1089/134686/1089-134686-0004.flac,1580/141084/1580-141084-0021.flac,1089-134686-0004,1580-141084-0021,/Users/davidmillard/Downloads/eval/our_SB_1/1089-134686-0004__to__1580-141084-0021.wav,/Users/davidmillard/Downloads/eval/freevc/target/1089-134686-0004_to_1580-141084-0021_target.flac,True,0.3918758928775787,3.206063747406006
3,our_SB_1,1089/134686/1089-134686-0006.flac,121/121726/121-121726-0005.flac,1089-134686-0006,121-121726-0005,/Users/davidmillard/Downloads/eval/our_SB_1/1089-134686-0006__to__121-121726-0005.wav,/Users/davidmillard/Downloads/eval/freevc/target/1089-134686-0006_to_121-121726-0005_target.flac,True,0.0059265904128551,2.990360736846924
4,our_SB_1,1089/134686/1089-134686-0008.flac,7729/102255/7729-102255-0038.flac,1089-134686-0008,7729-102255-0038,/Users/davidmillard/Downloads/eval/our_SB_1/1089-134686-0008__to__7729-102255-0038.wav,/Users/davidmillard/Downloads/eval/freevc/target/1089-134686-0008_to_7729-102255-0038_target.flac,True,0.4760649800300598,3.1647095680236816
5,our_SB_1,1089/134686/1089-134686-0010.flac,2961/961/2961-961-0022.flac,1089-134686-0010,2961-961-0022,/Users/davidmillard/Downloads/eval/our_SB_1/1089-134686-0010__to__2961-961-0022.wav,/Users/davidmillard/Downloads/eval/freevc/target/1089-134686-0010_to_2961-961-0022_target.flac,True,0.1904934644699096,3.1401424407958984
6,our_SB_1,1089/134686/1089-134686-0012.flac,3575/170457/3575-170457-0028.flac,1089-134686-0012,3575-170457-0028,/Users/davidmillard/Downloads/eval/our_SB_1/1089-134686-0012__to__3575-170457-0028.wav,/Users/davidmillard/Downloads/eval/freevc/target/1089-134686-0012_to_3575-170457-0028_target.flac,True,0.2726855278015136,2.9390435218811035
7,our_SB_1,1089/134686/1089-134686-0014.flac,1188/133604/1188-133604-0010.flac,1089-134686-0014,1188-133604-0010,/Users/davidmillard/Downloads/eval/our_SB_1/1089-134686-0014__to__1188-133604-0010.wav,/Users/davidmillard/Downloads/eval/freevc/target/1089-134686-0014_to_1188-133604-0010_target.flac,True,0.353658527135849,2.385979652404785
8,our_SB_1,1089/134686/1089-134686-0016.flac,4446/2271/4446-2271-0019.flac,1089-134686-0016,4446-2271-0019,/Users/davidmillard/Downloads/eval/our_SB_1/1089-134686-0016__to__4446-2271-0019.wav,/Users/davidmillard/Downloads/eval/freevc/target/1089-134686-0016_to_4446-2271-0019_target.flac,True,0.1516615748405456,3.4351844787597656
9,our_SB_1,1089/134686/1089-134686-0018.flac,5105/28233/5105-28233-0006.flac,1089-134686-0018,5105-28233-0006,/Users/davidmillard/Downloads/eval/our_SB_1/1089-134686-0018__to__5105-28233-0006.wav,/Users/davidmillard/Downloads/eval/freevc/target/1089-134686-0018_to_5105-28233-0006_target.flac,True,0.4200484752655029,2.3367552757263184
